team,Seas_Poss
Alcorn St,68.0
Baylor,68.0
Clemson,68.0
Missouri St,67.9
LIU,67.9
Lafayette,67.9
Grambling,67.9
Hampton,67.9
Presbyterian,67.8
The Citadel,67.8
Miss Valley St,67.8
Weber St,67.7
Oakland,67.7
West Virginia,67.7
C Connecticut,67.7
Campbell,67.7
Boise St,67.7
New Mexico St,67.6
Holy Cross,67.6
IU Indy,67.6
Davidson,67.6
J Madison,67.6
Jacksonville St,67.6
Canisius,67.6
Duquesne,67.5
UCLA,67.5
UNLV,67.4
Illinois St,67.4
Purdue,67.4
Elon,67.4
McNeese,67.4
NC State,67.4
Incarnate Word,67.3
W Illinois,67.3
FGCU,67.3
UConn,67.3
Kansas City,67.2
E Tennessee St,67.2
Wyoming,67.2
Minnesota,67.1
S Alabama,67.0
Seton Hall,67.0
Hofstra,67.0
Tennessee,67.0
Sacramento St,67.0
Stonehill,67.0
Oregon St,67.0
Niagara,66.9
N Iowa,66.9
Richmond,66.9
Saint Peter's,66.9
Morehead St,66.8
Nevada,66.8
Rider,66.8
Drexel,66.8
NC Greensboro,66.7
St Bonaventure,66.7
Merrimack,66.6
NW State,66.6
Marist,66.5
Wofford,66.5
Air Force,66.5
Mercyhurst,66.4
Towson,66.4
Hou Christian,66.4
Stony Brook,66.3
Boston U,66.3
Radford,66.2
Coastal Car,66.0
App State,66.0
Villanova,65.7
Saint Mary's,65.7
American,65.6
Houston,65.4
Vermont,65.4
Virginia,62.9
Wagner,62.8
N Texas,62.7
Drake,62.0
